field,period,dominant,leek.land,species,se.species
5,before,dominant,land,1,0
5,during,dominant,land,1.866364666,0.026772711
5,both,dominant,land,2.44648318,0.030365275
5,before,non.crop,land,6.482,0.047454483
5,during,non.crop,land,3.11,0.027398005
5,both,non.crop,land,7.753,0.059156492
5,before,opportunistic,land,7.48,0.052577223
5,during,opportunistic,land,7.779,0.054287255
5,both,opportunistic,land,11.627,0.055865839
5,during,dominant,leek,6.145,0.028084938
5,during,opportunistic,leek,12.014,0.090288183
24,before,dominant,land,1.603139013,0.016390382
24,during,dominant,land,2.019,0.021519807
24,both,dominant,land,2.787,0.022938116
24,before,non.crop,land,5.335,0.055622557
24,during,non.crop,land,6.294,0.056006256
24,both,non.crop,land,9.791,0.067244634
24,before,opportunistic,land,6.012,0.083082843
24,during,opportunistic,land,7.524,0.069830511
24,both,opportunistic,land,10.309,0.0634314
24,during,dominant,leek,4.935,0.027083362
24,during,opportunistic,leek,7.981,0.116860153
29,before,dominant,land,2,0
29,during,dominant,land,1,0
29,both,dominant,land,2.219978746,0.026803214
29,before,non.crop,land,2,0
29,during,non.crop,land,4.691,0.052251787
29,both,non.crop,land,5.733466934,0.061383379
29,before,opportunistic,land,6.73,0.068861033
29,during,opportunistic,land,3.687,0.041069669
29,both,opportunistic,land,8.489,0.073751734
29,during,dominant,leek,4.649,0.01755298
29,during,opportunistic,leek,10.45,0.076846636
30,before,dominant,land,2,0
30,during,dominant,land,2.604,0.024285258
30,both,dominant,land,3.446446446,0.025824101
30,before,non.crop,land,4,0.054799662
30,during,non.crop,land,5.104,0.049554411
30,both,non.crop,land,7.299,0.053763273
30,before,opportunistic,land,4.745,0.051794379
30,during,opportunistic,land,6.738,0.077442581
30,both,opportunistic,land,9.542,0.074711564
30,during,dominant,leek,4.925252525,0.023754073
30,during,opportunistic,leek,15.929,0.11382845
15,before,dominant,land,3.532,0.021152386
15,during,dominant,land,3.716,0.038663146
15,both,dominant,land,5.163,0.026816975
15,before,non.crop,land,5.298,0.038453539
15,during,non.crop,land,6.793,0.055001602
15,both,non.crop,land,9.6,0.053748385
15,before,opportunistic,land,4.26,0.053602922
15,during,opportunistic,land,5.092,0.053948554
15,both,opportunistic,land,6.949,0.041882612
15,during,dominant,leek,5.838,0.023586274
15,during,opportunistic,leek,12.816,0.089756338
20,before,dominant,land,2.2578125,0.01462168
20,during,dominant,land,2.009,0.029661403
20,both,dominant,land,3.421421421,0.03134529
20,before,non.crop,land,6.296,0.056900102
20,during,non.crop,land,8.77,0.105803092
20,both,non.crop,land,12.456,0.120068649
20,before,opportunistic,land,5.722,0.032492642
20,during,opportunistic,land,6.419,0.056644926
20,both,opportunistic,land,9.934,0.06287764
20,during,dominant,leek,6.376,0.031106134
20,during,opportunistic,leek,11.808,0.09410628
21,before,dominant,land,4.165,0.026428649
21,during,dominant,land,4.636,0.049819534
21,both,dominant,land,6.495,0.054174809
21,before,non.crop,land,5.685,0.054357426
21,during,non.crop,land,8.533,0.104335022
21,both,non.crop,land,11.195,0.091811788
21,before,opportunistic,land,6.991,0.10331308
21,during,opportunistic,land,5.447,0.026493261
21,both,opportunistic,land,10.255,0.098507252
21,during,dominant,leek,7.589,0.016863077
21,during,opportunistic,leek,18.352,0.111069494
25,before,dominant,land,1.237831858,0.014168261
25,during,dominant,land,3.359,0.037410139
25,both,dominant,land,3.790790791,0.039241456
25,before,non.crop,land,7.28,0.05306992
25,during,non.crop,land,6.684,0.060380376
25,both,non.crop,land,10.854,0.063503675
25,before,opportunistic,land,8.589,0.059863701
25,during,opportunistic,land,4.291,0.044992703
25,both,opportunistic,land,9.673,0.065622994
25,during,dominant,leek,7.333,0.037703216
25,during,opportunistic,leek,8.416,0.055117892
6,before,dominant,land,4,0
6,during,dominant,land,3,0
6,both,dominant,land,4.012658228,0.027654496
6,before,non.crop,land,2.97,0.031624359
6,during,non.crop,land,4.433,0.043213174
6,both,non.crop,land,6.731,0.052128268
6,before,opportunistic,land,6.729,0.051790359
6,during,opportunistic,land,3.952,0.040190936
6,both,opportunistic,land,8.853,0.072031796
6,during,dominant,leek,5.014,0.025543227
6,during,opportunistic,leek,5.387,0.057118241
18,before,dominant,land,5.745,0.05167829
18,during,dominant,land,5.737,0.053597609
18,both,dominant,land,7.978,0.038897674
18,before,non.crop,land,9,0
18,during,non.crop,land,9.16,0.073251387
18,both,non.crop,land,13.35170341,0.102577285
18,before,opportunistic,land,10.47,0.081937866
18,during,opportunistic,land,6.826,0.072256107
18,both,opportunistic,land,13.537,0.083771407
18,during,dominant,leek,7.551,0.031565731
18,during,opportunistic,leek,18.541,0.144752452
22,before,dominant,land,1.519,0.015807874
22,during,dominant,land,1.54,0.015768597
22,both,dominant,land,2.749,0.022902479
22,before,non.crop,land,2.526,0.026908141
22,during,non.crop,land,7.148,0.056650731
22,both,non.crop,land,9.155,0.078326944
22,before,opportunistic,land,2.763,0.01345407
22,during,opportunistic,land,3.168918919,0.039107886
22,both,opportunistic,land,5.008008008,0.045674833
22,during,dominant,leek,5.745,0.01435901
22,during,opportunistic,leek,13.574,0.16049387
32,before,dominant,land,1.762,0.013473587
32,during,dominant,land,2.9,0.026846242
32,both,dominant,land,3.15,0.021212024
32,before,non.crop,land,2.746,0.013772207
32,during,non.crop,land,2.575,0.030054588
32,both,non.crop,land,4.434,0.030307797
32,before,opportunistic,land,7.048,0.066559193
32,during,opportunistic,land,5.013,0.032555966
32,both,opportunistic,land,9.64,0.069247348
32,during,dominant,leek,4.995,0.03747505
32,during,opportunistic,leek,5.71368861,0.014619912
17,before,dominant,land,2.239,0.026125879
17,during,dominant,land,3.503370787,0.029110538
17,both,dominant,land,3.871614845,0.029795477
17,before,non.crop,land,2.489,0.015815471
17,during,non.crop,land,1.874157303,0.026267147
17,both,non.crop,land,3.801404213,0.034598309
17,before,opportunistic,land,4,0.054799662
17,during,opportunistic,land,3.129,0.043176651
17,both,opportunistic,land,5.663,0.055194904
17,during,dominant,leek,4.114,0.02185135
17,during,opportunistic,leek,8.674,0.083045895
33,before,dominant,land,2,0
33,during,dominant,land,2,0
33,both,dominant,land,2.34841629,0.016034447
33,before,non.crop,land,6.968,0.063836127
33,during,non.crop,land,7.156,0.080747657
33,both,non.crop,land,10.84,0.07440387
33,before,opportunistic,land,6.795,0.048013334
33,during,opportunistic,land,4.772,0.040492662
33,both,opportunistic,land,9.3,0.050403775
33,during,dominant,leek,6.492,0.035059452
33,during,opportunistic,leek,13.064,0.069012076
9,before,dominant,land,1,0
9,during,dominant,land,2.89,0.023758461
9,both,dominant,land,2.823053589,0.027183309
9,before,non.crop,land,1,0
9,during,non.crop,land,7.742,0.055772274
9,both,non.crop,land,7.844287159,0.082148288
9,before,opportunistic,land,2.683,0.029721951
9,during,opportunistic,land,3.012,0.02510949
9,both,opportunistic,land,4.531,0.034528702
9,during,dominant,leek,5.347,0.020024784
9,during,opportunistic,leek,11.328,0.068066505
12,before,dominant,land,3.691,0.033205747
12,during,dominant,land,1.422,0.015625625
12,both,dominant,land,4.123,0.038824971
12,before,non.crop,land,7.18,0.076507865
12,during,non.crop,land,4.071,0.02772594
12,both,non.crop,land,8.439,0.073849392
12,before,opportunistic,land,6.83,0.054498349
12,during,opportunistic,land,5.483,0.047728283
12,both,opportunistic,land,9.734,0.057310806
12,during,dominant,leek,6.503,0.033363215
12,during,opportunistic,leek,12.231,0.095481704
14,before,dominant,land,3.503,0.037992558
14,during,dominant,land,2.515,0.01581218
14,both,dominant,land,4.791,0.037022827
14,before,non.crop,land,4.758,0.074866822
14,during,non.crop,land,2,0
14,both,non.crop,land,6.107107107,0.079413137
14,before,opportunistic,land,6.779,0.091216662
14,during,opportunistic,land,1,0
14,both,opportunistic,land,7.183550652,0.097000832
14,during,dominant,leek,6.617,0.017567573
14,during,opportunistic,leek,13.488,0.058491686
16,before,dominant,land,7.737,0.046861786
16,during,dominant,land,5.801,0.047367105
16,both,dominant,land,9.869,0.042727797
16,before,non.crop,land,6.606,0.06321994
16,during,non.crop,land,6.448,0.055950214
16,both,non.crop,land,12.109,0.087720088
16,before,opportunistic,land,8.208,0.060335532
16,during,opportunistic,land,5.886,0.088785623
16,both,opportunistic,land,12.749,0.095556947
16,during,dominant,leek,6.892,0.01274749
16,during,opportunistic,leek,17.323,0.09188642
