field,period,fl_perc,flow.cov
5,before,12.93333333,1.111710471
6,before,8.141666667,0.910713318
9,before,4.177777778,0.620945335
12,before,11.57777778,1.06362521
14,before,9.411111111,0.973640901
15,before,25.68333333,1.409651388
16,before,33.47222222,1.524684546
17,before,4.841666667,0.684994886
18,before,5.091666667,0.706859964
20,before,14.77222222,1.169445832
21,before,16.7625,1.224338791
22,before,5.841666667,0.766536772
24,before,3.894444444,0.590445513
25,before,15.25,1.183269844
29,before,14.24166667,1.153560817
30,before,21.83333333,1.339120045
32,before,25.35833333,1.404120706
33,before,42.58333333,1.629239654
5,during,2.505555556,0.398904037
6,during,0.838888889,-0.076295558
9,during,5.433333333,0.73506635
12,during,7.077777778,0.849896923
14,during,1.425,0.153814864
15,during,4.405555556,0.644000682
16,during,5.505555556,0.740801149
17,during,2.927777778,0.46653811
18,during,3.75,0.574031268
20,during,5.644444444,0.751621203
21,during,1.916666667,0.28254659
22,during,7.488888889,0.874417387
24,during,4.055555556,0.608050355
25,during,4.622222222,0.664850821
29,during,3.425,0.534660576
30,during,8.445833333,0.926642507
32,during,4.75,0.67669361
33,during,1.716666667,0.234685974
