field,period,dominant,dens.land,dens.leek,flow.cov,snh
5,before,dominant,1,NA,1.111710471,0.634401109
6,before,dominant,3,NA,0.910713318,0.883006508
9,before,dominant,0.333333333,NA,0.620945335,6.691523683
12,before,dominant,9,NA,1.06362521,4.642709216
14,before,dominant,4.666666667,NA,0.973640901,5.195273827
15,before,dominant,10.33333333,NA,1.409651388,0.853826338
16,before,dominant,13,NA,1.524684546,6.018434024
17,before,dominant,5.5,NA,0.684994886,2.264174795
18,before,dominant,5.5,NA,0.706859964,6.860390083
20,before,dominant,4,NA,1.169445832,6.555837923
21,before,dominant,7.75,NA,1.224338791,7.44176155
22,before,dominant,1,NA,0.766536772,5.993391374
24,before,dominant,1,NA,0.590445513,1.975391912
25,before,dominant,2.666666667,NA,1.183269844,3.299332965
29,before,dominant,1,NA,1.153560817,4.086733123
30,before,dominant,1,NA,1.339120045,1.55208846
32,before,dominant,62.5,NA,1.404120706,2.473136122
33,before,dominant,2.333333333,NA,1.629239654,2.747571061
5,during,dominant,2.333333333,22,0.398904037,0.634401109
6,during,dominant,1,25.25,-0.076295558,0.883006508
9,during,dominant,4.666666667,94,0.73506635,6.691523683
12,during,dominant,1,31.5,0.849896923,4.642709216
14,during,dominant,4.5,57,0.153814864,5.195273827
15,during,dominant,8,21.4,0.644000682,0.853826338
16,during,dominant,18,283.3333333,0.740801149,6.018434024
17,during,dominant,2,19.75,0.46653811,2.264174795
18,during,dominant,7.333333333,88.6,0.574031268,6.860390083
20,during,dominant,2.666666667,188,0.751621203,6.555837923
21,during,dominant,5.666666667,200,0.28254659,7.44176155
22,during,dominant,2.666666667,47.25,0.874417387,5.993391374
24,during,dominant,2,10,0.608050355,1.975391912
25,during,dominant,6,39.5,0.664850821,3.299332965
29,during,dominant,1,24,0.534660576,4.086733123
30,during,dominant,21,105.4,0.926642507,1.55208846
32,during,dominant,6.333333333,76.66666667,0.67669361,2.473136122
33,during,dominant,1.5,38.33333333,0.234685974,2.747571061
5,before,non.crop,8,NA,1.111710471,0.634401109
6,before,non.crop,7.5,NA,0.910713318,0.883006508
9,before,non.crop,0.333333333,NA,0.620945335,6.691523683
12,before,non.crop,38,NA,1.06362521,4.642709216
14,before,non.crop,5,NA,0.973640901,5.195273827
15,before,non.crop,10.66666667,NA,1.409651388,0.853826338
16,before,non.crop,15.33333333,NA,1.524684546,6.018434024
17,before,non.crop,4.5,NA,0.684994886,2.264174795
18,before,non.crop,11,NA,0.706859964,6.860390083
20,before,non.crop,18.33333333,NA,1.169445832,6.555837923
21,before,non.crop,13,NA,1.224338791,7.44176155
22,before,non.crop,8.5,NA,0.766536772,5.993391374
24,before,non.crop,8.666666667,NA,0.590445513,1.975391912
25,before,non.crop,14.66666667,NA,1.183269844,3.299332965
29,before,non.crop,2.5,NA,1.153560817,4.086733123
30,before,non.crop,7,NA,1.339120045,1.55208846
32,before,non.crop,5.5,NA,1.404120706,2.473136122
33,before,non.crop,36,NA,1.629239654,2.747571061
5,during,non.crop,2.666666667,NA,0.398904037,0.634401109
6,during,non.crop,5.666666667,NA,-0.076295558,0.883006508
9,during,non.crop,15.66666667,NA,0.73506635,6.691523683
12,during,non.crop,5.666666667,NA,0.849896923,4.642709216
14,during,non.crop,1,NA,0.153814864,5.195273827
15,during,non.crop,11,NA,0.644000682,0.853826338
16,during,non.crop,7.333333333,NA,0.740801149,6.018434024
17,during,non.crop,1.666666667,NA,0.46653811,2.264174795
18,during,non.crop,14.66666667,NA,0.574031268,6.860390083
20,during,non.crop,12.66666667,NA,0.751621203,6.555837923
21,during,non.crop,11.33333333,NA,0.28254659,7.44176155
22,during,non.crop,11.66666667,NA,0.874417387,5.993391374
24,during,non.crop,9.333333333,NA,0.608050355,1.975391912
25,during,non.crop,9.333333333,NA,0.664850821,3.299332965
29,during,non.crop,7,NA,0.534660576,4.086733123
30,during,non.crop,11.25,NA,0.926642507,1.55208846
32,during,non.crop,4.333333333,NA,0.67669361,2.473136122
33,during,non.crop,20,NA,0.234685974,2.747571061
5,before,opportunistic,24.5,NA,1.111710471,0.634401109
6,before,opportunistic,21.5,NA,0.910713318,0.883006508
9,before,opportunistic,9,NA,0.620945335,6.691523683
12,before,opportunistic,39.66666667,NA,1.06362521,4.642709216
14,before,opportunistic,36,NA,0.973640901,5.195273827
15,before,opportunistic,28,NA,1.409651388,0.853826338
16,before,opportunistic,30,NA,1.524684546,6.018434024
17,before,opportunistic,14,NA,0.684994886,2.264174795
18,before,opportunistic,62.5,NA,0.706859964,6.860390083
20,before,opportunistic,35.66666667,NA,1.169445832,6.555837923
21,before,opportunistic,31.5,NA,1.224338791,7.44176155
22,before,opportunistic,25,NA,0.766536772,5.993391374
24,before,opportunistic,28,NA,0.590445513,1.975391912
25,before,opportunistic,22.66666667,NA,1.183269844,3.299332965
29,before,opportunistic,28.5,NA,1.153560817,4.086733123
30,before,opportunistic,13.5,NA,1.339120045,1.55208846
32,before,opportunistic,9,NA,1.404120706,2.473136122
33,before,opportunistic,179.3333333,NA,1.629239654,2.747571061
5,during,opportunistic,16.33333333,19.75,0.398904037,0.634401109
6,during,opportunistic,7.666666667,29.75,-0.076295558,0.883006508
9,during,opportunistic,14,23,0.73506635,6.691523683
12,during,opportunistic,9.333333333,18.5,0.849896923,4.642709216
14,during,opportunistic,2,85.33333333,0.153814864,5.195273827
15,during,opportunistic,8.333333333,30.4,0.644000682,0.853826338
16,during,opportunistic,8.333333333,111.3333333,0.740801149,6.018434024
17,during,opportunistic,17,15.25,0.46653811,2.264174795
18,during,opportunistic,12.33333333,49.2,0.574031268,6.860390083
20,during,opportunistic,17.33333333,24.66666667,0.751621203,6.555837923
21,during,opportunistic,7.666666667,49.25,0.28254659,7.44176155
22,during,opportunistic,8,15.75,0.874417387,5.993391374
24,during,opportunistic,22,7.25,0.608050355,1.975391912
25,during,opportunistic,12.66666667,12.5,0.664850821,3.299332965
29,during,opportunistic,3.5,16.66666667,0.534660576,4.086733123
30,during,opportunistic,11.75,101.4,0.926642507,1.55208846
32,during,opportunistic,6,24,0.67669361,2.473136122
33,during,opportunistic,13.5,68,0.234685974,2.747571061
