field,dominant,dens.leek,dens.land
5,dominant,22,3.333333333
6,dominant,25.25,4
9,dominant,94,5
12,dominant,31.5,10
14,dominant,57,9.166666667
15,dominant,21.4,18.33333333
16,dominant,283.3333333,31
17,dominant,19.75,7.5
18,dominant,88.6,12.83333333
20,dominant,188,6.666666667
21,dominant,200,13.41666667
22,dominant,47.25,3.666666667
24,dominant,10,3
25,dominant,39.5,8.666666667
29,dominant,24,2
30,dominant,105.4,22
32,dominant,76.66666667,68.83333333
33,dominant,38.33333333,3.833333333
5,opportunistic,19.75,10.66666667
6,opportunistic,29.75,13.16666667
9,opportunistic,23,16
12,opportunistic,18.5,43.66666667
14,opportunistic,85.33333333,6
15,opportunistic,30.4,21.66666667
16,opportunistic,111.3333333,22.66666667
17,opportunistic,15.25,6.166666667
18,opportunistic,49.2,25.66666667
20,opportunistic,24.66666667,31
21,opportunistic,49.25,24.33333333
22,opportunistic,15.75,20.16666667
24,opportunistic,7.25,18
25,opportunistic,12.5,24
29,opportunistic,16.66666667,9.5
30,opportunistic,101.4,18.25
32,opportunistic,24,9.833333333
33,opportunistic,68,56
5,non.crop,NA,40.83333333
6,non.crop,NA,29.16666667
9,non.crop,NA,23
12,non.crop,NA,49
14,non.crop,NA,38
15,non.crop,NA,36.33333333
16,non.crop,NA,38.33333333
17,non.crop,NA,31
18,non.crop,NA,74.83333333
20,non.crop,NA,53
21,non.crop,NA,39.16666667
22,non.crop,NA,33
24,non.crop,NA,50
25,non.crop,NA,35.33333333
29,non.crop,NA,32
30,non.crop,NA,25.25
32,non.crop,NA,15
33,non.crop,NA,192.8333333
